评论,地区,日期,点赞,情绪
#被北京处处可见的月季花海惊艳了# #有一种浪漫叫北京月季花开# 北京城，月季艳，处处飘香醉蝶眠。浪漫此间藏，繁花似锦映日辉。,其他,Wed May 28 08:56:55 +0800 2025,7,happiness
哇，好美～被北京处处可见的月季花海惊艳了[送花花][送花花]有一种浪漫叫北京月季花开，真的好浪漫～总有美好在路上[心]想去北京旅游了～,广东,Wed May 28 08:49:40 +0800 2025,6,happiness
美好的一天开始了,浙江 ,Wed May 28 08:55:09 +0800 2025,5,happiness
[心],江苏 ,Wed May 28 08:38:12 +0800 2025,4,sadness
早啊,山西,Wed May 28 08:38:12 +0800 2025,4,anger
早安 总有美好在路上[心][心][心],广东 ,Wed May 28 08:52:58 +0800 2025,4,happiness
早安，总有美好在路上[心],其他,Wed May 28 09:46:47 +0800 2025,3,happiness
伴着周深的歌声一起欣赏花海，感受美好！@卡布叻_周深 [色][色][色],上海,Wed May 28 22:15:32 +0800 2025,2,happiness
总有美好在路上@卡布叻_周深 [给你小心心][给你小心心][给你小心心],江苏 ,Wed May 28 12:53:58 +0800 2025,2,happiness
花团锦簇令人沉醉，总有美好在路上！,香港,Wed May 28 12:02:26 +0800 2025,2,like
[送花花][送花花][送花花]花好看，歌好听，心情好[耶],海外,Wed May 28 12:00:12 +0800 2025,2,happiness
总有美好在路上[鲜花][鲜花],浙江 ,Wed May 28 10:56:11 +0800 2025,2,happiness
早安[心],安徽,Wed May 28 10:17:25 +0800 2025,2,happiness
人生处处有美好，月季花海太美了！,辽宁 ,Wed May 28 10:05:12 +0800 2025,2,like
总有美好在路上[哇],天津,Wed May 28 09:54:31 +0800 2025,2,happiness
好美呀！[哇],北京,Wed May 28 09:45:09 +0800 2025,2,like
好美！,北京,Wed May 28 09:36:36 +0800 2025,2,like
哇哦,北京 ,Wed May 28 09:36:11 +0800 2025,2,happiness
早上好呀,其他,Wed May 28 09:19:44 +0800 2025,2,happiness
美好景色在路上,浙江,Wed May 28 09:10:31 +0800 2025,2,fear
真美好哇,其他,Wed May 28 09:07:38 +0800 2025,3,like
冰冰粉莲儿女诗人杨雁斌 涉江采芙蓉 兰泽多芳草 萋萋满别情 白云千朵 心也简单诗意处处,广东 ,Fri May 30 15:05:16 +0800 2025,1,disgust
花美景美，BGM好听[打call][打call][打call],湖南,Fri May 30 14:50:12 +0800 2025,1,happiness
总有美好在路上@/@卡布叻_周深,广东 ,Fri May 30 05:55:27 +0800 2025,1,happiness
好漂亮[兔子],山东,Thu May 29 16:34:16 +0800 2025,1,like
[心][心],福建 ,Wed May 28 20:16:19 +0800 2025,1,sadness
好漂亮[心],台湾,Wed May 28 19:15:41 +0800 2025,1,like
总有美好在路上@卡布叻_周深 [送花花][送花花],四川 ,Wed May 28 14:15:33 +0800 2025,1,happiness
漂亮,山西,Wed May 28 12:26:26 +0800 2025,1,like
[努力],广东,Wed May 28 11:41:17 +0800 2025,1,like
总有美好在路上,安徽,Wed May 28 09:45:12 +0800 2025,1,like
好看[嘻嘻],广东 ,Wed May 28 09:16:29 +0800 2025,1,happiness
早安[太阳],福建,Wed May 28 09:07:14 +0800 2025,1,happiness
早安[心][心][心],其他,Wed May 28 09:05:11 +0800 2025,1,happiness
早上好,其他,Wed May 28 08:37:10 +0800 2025,1,happiness
早，绚丽馥郁，真的总有美好在路上[心],福建,Wed May 28 08:36:42 +0800 2025,1,like
早安,浙江,Wed May 28 08:35:56 +0800 2025,1,happiness
早上好,其他,Wed May 28 08:35:54 +0800 2025,1,happiness
哇好漂亮啊,福建,Wed May 28 08:35:14 +0800 2025,1,like
好漂亮啊[抱一抱],宁夏 ,Wed May 28 08:34:47 +0800 2025,1,like
早安,辽宁 ,Wed May 28 08:34:11 +0800 2025,1,happiness
[心][心],其他,Wed May 28 08:33:24 +0800 2025,1,sadness
早上好[打call],安徽,Wed May 28 08:44:51 +0800 2025,1,happiness
花香歌声美@卡布叻_周深,海外,Fri May 30 07:54:54 +0800 2025,1,happiness
好美啊！总有美好在路上！[哇],其他,Thu May 29 05:51:44 +0800 2025,1,like
[赞],甘肃 ,Wed May 28 20:27:29 +0800 2025,2,like
好美??,河南,Wed May 28 18:54:20 +0800 2025,1,like
好美！总有美好在路上[打call][打call][打call],其他,Wed May 28 13:58:09 +0800 2025,1,happiness
总有美好在路上[心],其他,Wed May 28 13:54:00 +0800 2025,1,happiness
总有美好在路上[打call],其他,Wed May 28 12:41:47 +0800 2025,1,happiness
总有美好在路上！@卡布叻_周深 [心],江苏 ,Wed May 28 12:35:13 +0800 2025,1,happiness
是很漂亮，我老家的公路旁边也被种上了月季，但是太好生虫子了…[哈欠],湖北,Wed May 28 12:06:44 +0800 2025,1,like
花开向阳，总有美好在路上！[送花花],重庆,Wed May 28 11:55:50 +0800 2025,1,happiness
有一种花叫北京[嘻嘻],其他,Wed May 28 11:53:14 +0800 2025,1,happiness
总有美好在路上[鲜花]@卡布叻_周深,山东,Wed May 28 11:23:55 +0800 2025,1,happiness
总有美好在路上[送花花][送花花][送花花],其他,Wed May 28 10:35:58 +0800 2025,1,happiness
[污][污][污][彩虹屁][彩虹屁][彩虹屁],其他,Wed May 28 09:21:27 +0800 2025,1,disgust
早上好呀！总有美好在路上@卡布叻_周深,其他,Wed May 28 09:20:10 +0800 2025,1,happiness
美好生活,四川,Wed May 28 09:14:50 +0800 2025,1,like
总有美好在路上[送花花],四川 ,Wed May 28 08:58:51 +0800 2025,2,happiness
总有美好在路上[抱一抱],其他,Wed May 28 08:53:30 +0800 2025,1,happiness
花在开，云在飘，笑容在脸上，我们向前方一路向阳[心],海外,Wed May 28 08:46:58 +0800 2025,1,like
我天，这花团锦簇的月季花美不胜收！真是总有美好在路上！[赞][赞][赞]@卡布叻_周深,辽宁,Wed May 28 08:46:18 +0800 2025,1,like
总有美好在路上[心],海外,Wed May 28 08:45:51 +0800 2025,1,happiness
总有美好在路上，多看多感受,福建,Mon Jun 02 11:06:06 +0800 2025,0,like
我的北京我的城,北京,Sun Jun 01 19:50:11 +0800 2025,0,sadness
总有美好在路上，@卡布叻_周深 端午节(′ω｀)????快乐[太开心],浙江 ,Sat May 31 07:52:06 +0800 2025,0,happiness
好漂亮呀！,其他,Fri May 30 15:00:52 +0800 2025,0,like
月季花开醉京城 粉色回忆浪漫深 路上处处小美好 京城处处是花海,广东 ,Fri May 30 14:47:42 +0800 2025,0,like
月季花开醉京城 粉色回忆浪漫深 路上处处小美好 京城处处是花海 冰冰粉莲儿女诗人杨雁斌,广东 ,Fri May 30 14:45:57 +0800 2025,0,like
总有美好在路上[送花花],广东 ,Fri May 30 11:43:08 +0800 2025,0,happiness
这叫城市的浪漫[开学季],其他,Thu May 29 21:17:08 +0800 2025,0,disgust
喜欢这歌和景！@卡布叻_周深,其他,Thu May 29 18:01:32 +0800 2025,1,happiness
#周深[超话]##被北京处处可见的月季花海惊艳了# 我们的祖国繁荣昌盛,其他,Thu May 29 17:49:46 +0800 2025,0,surprise
大街小巷月季盛放，一路都有美好相伴！,江苏 ,Thu May 29 13:12:54 +0800 2025,0,like
好美[心]总有美好在路上[心]@卡布叻_周深,其他,Thu May 29 08:18:30 +0800 2025,0,happiness
[心],其他,Thu May 29 07:26:39 +0800 2025,0,sadness
总有美好在路上！！！[心][心][心]@卡布叻_周深,辽宁 ,Thu May 29 00:11:58 +0800 2025,0,happiness
总有美好在路上[抱一抱]@卡布叻_周深,贵州,Wed May 28 23:46:00 +0800 2025,0,happiness
[心],新疆,Wed May 28 23:29:05 +0800 2025,0,sadness
总有美好在路上,河南 ,Wed May 28 22:24:18 +0800 2025,0,like
总有美好在路上！@卡布叻_周深,北京,Wed May 28 21:40:42 +0800 2025,0,happiness
总有美好在路上，晚安??,河北,Wed May 28 21:11:03 +0800 2025,0,happiness
有时在车上忍不住拍照，这几年北京的环路和路边，确实花团锦簇，生机盎然，看了心情愉悦[打call],其他,Wed May 28 20:32:19 +0800 2025,0,sadness
这么美的月季花，这么美好的路上，就开慢点慢慢欣赏呗~@卡布叻_周深,其他,Wed May 28 20:22:30 +0800 2025,0,like
总有美好在路上[给力],其他,Wed May 28 20:16:49 +0800 2025,0,like
总有美好在路上！！！[抱一抱][抱一抱][抱一抱]@卡布叻_周深,其他,Wed May 28 18:57:54 +0800 2025,0,happiness
[心],北京,Wed May 28 18:11:20 +0800 2025,0,sadness
总有美好在路上！[送花花],其他,Wed May 28 17:54:07 +0800 2025,0,happiness
好漂亮啊 原来美好就在路上[送花花],海外 ,Wed May 28 17:47:25 +0800 2025,0,like
#被北京处处可见的月季花海惊艳了#,河南,Wed May 28 17:37:10 +0800 2025,0,surprise
北京的月季真是特别美，品种多，花型也多，花期长，颜色丰富。,北京,Wed May 28 17:29:32 +0800 2025,0,like
下午好！总有美好在路上！[鲜花],其他,Wed May 28 17:10:45 +0800 2025,0,happiness
听温暖的歌，看美丽的花，心情瞬间晴朗！,湖北 ,Wed May 28 16:48:47 +0800 2025,0,happiness
一路繁花相伴，北京街头也太浪漫了吧！#被北京处处可见的月季花海惊艳了#,浙江,Wed May 28 16:47:28 +0800 2025,0,like
总有美好在路上[送花花],上海 ,Wed May 28 16:34:43 +0800 2025,0,happiness
[太开心][太开心][太开心],其他,Wed May 28 16:22:22 +0800 2025,0,happiness
总有美好在路上[送花花],其他,Wed May 28 16:07:46 +0800 2025,0,happiness
总有美好在路上??,其他,Wed May 28 16:07:05 +0800 2025,0,like
太美了！[赞啊],海外,Wed May 28 15:29:31 +0800 2025,0,like
好美啊[鮮花][鮮花][鮮花][鮮花],香港 ,Wed May 28 15:24:32 +0800 2025,0,happiness
[心],河南,Wed May 28 15:21:55 +0800 2025,0,sadness
花开处处有美好！,江苏,Wed May 28 15:02:22 +0800 2025,0,like
月季花真的太漂亮了！可惜不能亲眼看到[悲伤]希望有一天能够在路上与这么漂亮的花海相遇～,海外 ,Wed May 28 14:52:02 +0800 2025,0,like
总有美好在路上,其他,Wed May 28 14:39:44 +0800 2025,0,like
《总有美好在路上》，总有美好在等着我们啊！@卡布叻_周深,湖南 ,Wed May 28 14:27:37 +0800 2025,0,happiness
漫步在花开正盛的街巷间，芬芳扑面，满目绚烂，北京这座古都传统与现代交织的独特韵致，在花团锦簇中愈发令人沉醉。,其他,Wed May 28 14:10:55 +0800 2025,0,disgust
总有美好在路上[哇],海外 ,Wed May 28 13:47:25 +0800 2025,0,happiness
总有美好在路上,吉林 ,Wed May 28 13:38:35 +0800 2025,0,like
我们温州是山茶花,浙江 ,Wed May 28 13:34:38 +0800 2025,0,like
早安(′O｀),云南,Wed May 28 13:31:35 +0800 2025,0,happiness
[心][心][心]太美好了[心][心][心],广东,Wed May 28 13:22:39 +0800 2025,0,happiness
[心],海外,Wed May 28 13:09:56 +0800 2025,0,sadness
美的[吹风车],北京 ,Wed May 28 13:00:41 +0800 2025,0,happiness
《总有美好在路上》[彩虹屁]@卡布叻_周深,其他,Wed May 28 12:53:53 +0800 2025,0,happiness
总有美好在路上[心][心][心],广东,Wed May 28 12:51:52 +0800 2025,0,happiness
生如夏花之烂漫[心]在周深的歌声里绽放[心],浙江,Wed May 28 12:43:02 +0800 2025,0,like
看着美丽的月季花，听着周深美好的歌声，心情特别愉悦[赢牛奶],广东,Wed May 28 12:41:27 +0800 2025,0,happiness
总有美好在路上,河北 ,Wed May 28 12:35:33 +0800 2025,0,like
总有美好在路上！,广东,Wed May 28 12:32:59 +0800 2025,0,like
[心][心][心],天津 ,Wed May 28 12:23:41 +0800 2025,0,sadness
总有美好在路上[心],上海,Wed May 28 12:23:05 +0800 2025,0,happiness
一朵花读懂一座城,山东,Wed May 28 12:22:48 +0800 2025,0,like
真的好美，总有美好在路上[心],海外 ,Wed May 28 12:18:47 +0800 2025,0,like
#周深[超话]##被北京处处可见的月季花海惊艳了# [送花花]#有一种浪漫叫北京月季花开# 太美了！总有美好在路上！[送花花]@卡布叻_周深[送花花],其他,Wed May 28 12:14:37 +0800 2025,0,surprise
美好的景色[音乐]美好的歌声@卡布叻_周深 《总有美好在路上》,其他,Wed May 28 12:14:25 +0800 2025,0,happiness
早上好,其他,Wed May 28 12:14:02 +0800 2025,0,happiness
这么美[送花花][送花花],其他,Wed May 28 12:08:40 +0800 2025,0,like
好美,福建,Wed May 28 12:05:24 +0800 2025,0,like
相信总有美好在路上[送花花]@卡布叻_周深,上海,Wed May 28 12:05:20 +0800 2025,0,happiness
好美,湖北,Wed May 28 11:58:51 +0800 2025,0,like
好美,浙江,Wed May 28 11:57:41 +0800 2025,0,like
早上好,广东,Wed May 28 11:47:23 +0800 2025,0,happiness
早晨[鲜花][鲜花]总有美好在路上[心][心][心],其他,Wed May 28 11:45:43 +0800 2025,0,happiness
有一种浪漫叫听深深@卡布叻_周深 的歌[心]总有美好在路上,海外,Wed May 28 11:34:28 +0800 2025,0,happiness
守望相助，一缕阳光也将照亮心扉；同心协力，一点火光也能温暖灵魂。,浙江 ,Wed May 28 11:29:56 +0800 2025,0,like
好美[抱一抱][抱一抱],北京 ,Wed May 28 11:27:16 +0800 2025,0,like
一年四季，季季有花开，季季有花落。,安徽,Wed May 28 11:27:02 +0800 2025,0,like
太漂亮了[心][心][心],上海,Wed May 28 11:24:53 +0800 2025,0,like
唯美浪漫的月季，姹紫嫣红的古都，芬芳馥郁的生活，愿一切美好永远与人们相伴！@卡布叻_周深 巜总有美好在路上》[鲜花][鲜花][鲜花][心][心][心],河南 ,Wed May 28 11:14:50 +0800 2025,0,like
真好看[抱一抱][心],香港 ,Wed May 28 11:08:41 +0800 2025,1,happiness
这么美，那么远，看不着，干着急[笑cry],辽宁,Wed May 28 11:07:14 +0800 2025,0,disgust
[心][心]心情好,广东,Wed May 28 11:02:05 +0800 2025,0,happiness
月季花虽朴素，但它热情地绽放！,北京 ,Wed May 28 10:55:41 +0800 2025,0,like
[爱慕][爱慕][爱慕],广东,Wed May 28 10:52:39 +0800 2025,0,like
[心],重庆,Wed May 28 10:48:22 +0800 2025,0,sadness
传统与现代交织的独特韵致，在花团锦簇中愈发令人沉醉,安徽,Wed May 28 10:48:18 +0800 2025,0,like
浪漫,山东 ,Wed May 28 10:37:30 +0800 2025,0,happiness
浪漫随行，美好如期而至,湖南 ,Wed May 28 10:33:19 +0800 2025,0,like
很美呢,其他,Wed May 28 10:30:11 +0800 2025,0,like
好美,四川 ,Wed May 28 10:29:00 +0800 2025,0,like
早上好,其他,Wed May 28 10:28:47 +0800 2025,0,happiness
好美的月季花[哇],陕西,Wed May 28 10:18:58 +0800 2025,0,like
[送花花][送花花][送花花],台湾 ,Wed May 28 10:16:54 +0800 2025,0,happiness
早安,河南,Wed May 28 10:12:41 +0800 2025,0,happiness
#被北京处处可见的月季花海惊艳了# #有一种浪漫叫北京月季花开# 好美，总有美好在路上[抱一抱],其他,Wed May 28 10:12:00 +0800 2025,0,happiness
[哇],陕西,Wed May 28 10:10:31 +0800 2025,0,surprise
早上好,广东,Wed May 28 10:09:11 +0800 2025,0,happiness
哇好美啊！,安徽,Wed May 28 10:05:43 +0800 2025,0,happiness
哇??真好????,海外 ,Wed May 28 10:04:58 +0800 2025,0,happiness
早安[努力]总有美好在路上[哇]@卡布叻_周深,其他,Wed May 28 10:04:09 +0800 2025,0,happiness
[太阳]  总有美好在路上！[太阳],其他,Wed May 28 10:03:14 +0800 2025,0,like
好美[心],北京,Wed May 28 09:56:01 +0800 2025,0,like
@卡布叻_周深 总有美好在路上[心]月季花海太美啦[心],香港,Wed May 28 09:55:52 +0800 2025,0,happiness
早[好爱哦]总有美好在路上~@卡布叻_周深,广东,Wed May 28 09:55:39 +0800 2025,0,happiness
早早早,河南 ,Wed May 28 09:54:37 +0800 2025,0,sadness
总有美好在路上，早安[心],北京,Wed May 28 09:53:44 +0800 2025,0,happiness
真好看好听,其他,Wed May 28 09:53:03 +0800 2025,0,like
早安[心],其他,Wed May 28 09:51:29 +0800 2025,0,happiness
总有美好在路上[送花花][送花花][送花花]@卡布叻_周深,其他,Wed May 28 09:51:27 +0800 2025,0,happiness
#端午假期第1天新一轮降水到来# #南方雨雨雨一轮接一轮#,浙江 ,Wed May 28 09:48:22 +0800 2025,0,surprise
[爱你]早上好,浙江 ,Wed May 28 09:47:36 +0800 2025,0,like
绚烂月季，芬芳扑面，总有美好在路上[送花花],辽宁 ,Wed May 28 09:47:35 +0800 2025,0,like
好美[举手],其他,Wed May 28 09:47:12 +0800 2025,0,happiness
总有美好在路上...,海外 ,Wed May 28 09:47:05 +0800 2025,0,like
总有美好在路上,其他,Wed May 28 09:46:23 +0800 2025,0,like
早呀,河北,Wed May 28 09:45:38 +0800 2025,0,anger
总有美好在路上[太阳][太阳],北京 ,Wed May 28 09:43:10 +0800 2025,0,like
早上上班，在小区拍了几张月季花，开心上班[哈哈],辽宁,Wed May 28 09:42:56 +0800 2025,0,happiness
花开的真好[送花花],辽宁,Wed May 28 09:41:58 +0800 2025,0,happiness
总有美好在路上[打call][打call],北京,Wed May 28 09:40:48 +0800 2025,0,happiness
好美,北京,Wed May 28 09:39:46 +0800 2025,0,like
感谢分享[送花花][送花花][送花花],其他,Wed May 28 09:39:24 +0800 2025,0,happiness
总有美好在路上[心],其他,Wed May 28 09:38:43 +0800 2025,0,happiness
一大早心情好起来了,上海,Wed May 28 09:38:03 +0800 2025,0,happiness
好美,其他,Wed May 28 09:36:36 +0800 2025,0,like
早,其他,Wed May 28 09:35:45 +0800 2025,0,sadness
一天都会心情舒畅呀！ 总有美好在路上[鲜花][鲜花][鲜花],广东 ,Wed May 28 09:35:12 +0800 2025,0,happiness
[爱慕][爱慕][爱慕],湖南,Wed May 28 09:33:41 +0800 2025,0,like
早安,其他,Wed May 28 09:33:39 +0800 2025,0,happiness
早安,北京,Wed May 28 09:33:04 +0800 2025,0,happiness
总有美好在路上[心],广东 ,Wed May 28 09:32:06 +0800 2025,0,happiness
总有美好在路上[抱一抱],安徽,Wed May 28 09:32:03 +0800 2025,0,happiness
早安[心]总有美好在路上@卡布叻_周深,其他,Wed May 28 09:31:14 +0800 2025,0,happiness
[赞啊][赞啊][赞啊],四川 ,Wed May 28 09:27:43 +0800 2025,0,like
#被北京处处可见的月季花海惊艳了#   楼下的月季也开得特别好[心][心]#有一种浪漫叫北京月季花开#,北京,Wed May 28 09:26:13 +0800 2025,0,surprise
好美北京月季花海，搭配着周深唱的《总有美好在路上》真的是歌好听花好看！@卡布叻_周深 [鼓掌][心][心],香港,Wed May 28 09:26:01 +0800 2025,0,like
[心],河南,Wed May 28 09:24:57 +0800 2025,0,sadness
早安,贵州 ,Wed May 28 09:24:43 +0800 2025,0,happiness
[心],北京 ,Wed May 28 09:23:38 +0800 2025,0,sadness
哇，北京月季好好看[送花花],广东,Wed May 28 09:22:43 +0800 2025,0,happiness
总有美好在路上[送花花],山东,Wed May 28 09:22:33 +0800 2025,0,happiness
跟寶寶@卡布叻_周深 一起好好生活[打call],台湾,Wed May 28 09:21:17 +0800 2025,0,happiness
好美呀[好爱哦],上海 ,Wed May 28 09:19:55 +0800 2025,0,like
早上好呀！,其他,Wed May 28 09:19:27 +0800 2025,0,happiness
总有美好在路上[心],福建,Wed May 28 09:19:25 +0800 2025,0,happiness
总有美好在路上[兔子],其他,Wed May 28 09:19:22 +0800 2025,0,happiness
总有美好在路上[哇],福建 ,Wed May 28 09:19:21 +0800 2025,0,happiness
昨天再好，也走不回去，明天再难，也要抬脚继续，不管你昨天有多优秀，代表不了今天的辉煌，昨天的太阳永远晒不干今天的衣裳，坚信，以阳光的心态继续前行，每天都会很美好！,其他,Wed May 28 09:18:29 +0800 2025,0,sadness
[送花花][送花花][送花花],四川,Wed May 28 09:18:08 +0800 2025,0,happiness
早呀早呀早呀[抱一抱][抱一抱][抱一抱],广东 ,Wed May 28 09:17:27 +0800 2025,0,happiness
早上好,其他,Wed May 28 09:17:25 +0800 2025,0,happiness
[爱你],浙江,Wed May 28 09:17:13 +0800 2025,0,like
角色鲜明不重复 [成毅][抱一抱][茶百道成毅],其他,Wed May 28 09:16:13 +0800 2025,0,disgust
早安,其他,Wed May 28 09:15:45 +0800 2025,0,happiness
早[心],广东 ,Wed May 28 09:15:40 +0800 2025,0,sadness
总有美好在路上，美好一定在路上~~~@卡布叻_周深,广东 ,Wed May 28 09:15:32 +0800 2025,1,happiness
早上好[哇],其他,Wed May 28 09:14:26 +0800 2025,0,happiness
好看[送花花],广东 ,Wed May 28 09:13:27 +0800 2025,0,like
早上好[努力],其他,Wed May 28 09:12:02 +0800 2025,0,happiness
总有美好在路上[心],吉林 ,Wed May 28 09:11:58 +0800 2025,1,happiness
美好的事物都有某种相似，看了听了让人心情愉悦！早上好！一起发现生活中的各种美好，因为《总有美好在路上》[鲜花][鲜花][鲜花],上海,Wed May 28 09:11:46 +0800 2025,1,happiness
美[心]@卡布叻_周深,湖北 ,Wed May 28 09:11:37 +0800 2025,1,happiness
“总有美好在路上”具像化了，真好！[哇][哇][哇]@卡布叻_周深,其他,Wed May 28 09:11:15 +0800 2025,1,happiness
[心][心][心],其他,Wed May 28 09:11:07 +0800 2025,1,sadness
早安,其他,Wed May 28 09:10:51 +0800 2025,0,happiness
美好在路上具象化了！,其他,Wed May 28 09:10:27 +0800 2025,1,sadness
早安，每一天都有新的美好等待着我们[心],海外,Wed May 28 09:09:29 +0800 2025,0,happiness
相信未来，相信内在和坦然美好的心境。在心里，谁都有一道最美丽的风景。往前走，在这个世界上留下属于你的厉害印记。 ?,其他,Wed May 28 09:09:23 +0800 2025,0,happiness
好美的月季,其他,Wed May 28 09:09:16 +0800 2025,0,like
早[给你小心心],其他,Wed May 28 09:09:09 +0800 2025,0,sadness
早上好[哈哈],其他,Wed May 28 09:08:53 +0800 2025,0,happiness
美哦,上海,Wed May 28 09:08:28 +0800 2025,0,like
总有美好在路上,浙江 ,Wed May 28 09:07:56 +0800 2025,0,like
相信未来，相信内在和坦然美好的心境。在心里，谁都有一道最美丽的风景。往前走，在这个世界上留下属于你的厉害印记。 ?,其他,Wed May 28 09:07:50 +0800 2025,0,happiness
早安。总有美好在路上[心][心],北京 ,Wed May 28 09:07:40 +0800 2025,0,happiness
世上只有一种英雄主义，就是在认清生活真相之后依然热爱生活,其他,Wed May 28 09:07:21 +0800 2025,0,like
总有美好在路上,广东 ,Wed May 28 09:07:18 +0800 2025,0,like
[送花花] 总有美好在路上@卡布叻_周深,其他,Wed May 28 09:07:11 +0800 2025,0,happiness
努力向前进，总有美好在路上。[鲜花][鲜花],其他,Wed May 28 09:07:06 +0800 2025,0,like
总有美好在路上[心]@卡布叻_周深,北京 ,Wed May 28 09:06:59 +0800 2025,0,happiness
好看，总有美好在路上,其他,Wed May 28 09:05:46 +0800 2025,0,like
你的身后如果中了冷箭，说明你走在他们前面。你会被他们伤到，说明你走得不够远，还在他们的射程以内。所以不要停下来解释自己，要证明别人是偏见，唯一的办法就是证明自己是对的。为此你需要往前走更努力平静而从容,其他,Wed May 28 09:05:37 +0800 2025,0,sadness
早安[给你小心心],其他,Wed May 28 09:05:14 +0800 2025,0,happiness
早安,浙江,Wed May 28 09:05:11 +0800 2025,0,happiness
好美,北京,Wed May 28 09:04:16 +0800 2025,0,like
早上好,浙江 ,Wed May 28 09:03:48 +0800 2025,0,happiness
#被北京处处可见的月季花海惊艳了# 美丽北京#有一种浪漫叫北京月季花开#,北京,Wed May 28 09:03:23 +0800 2025,0,like
早安[送花花],其他,Wed May 28 09:03:01 +0800 2025,0,happiness
一朵花读懂一座城，总有美好在路上@卡布叻_周深,内蒙古,Wed May 28 09:01:46 +0800 2025,0,like
[兔子],其他,Wed May 28 09:01:18 +0800 2025,0,surprise
漂亮[送花花],浙江,Wed May 28 09:01:00 +0800 2025,0,like
好漂亮啊啊啊啊@卡布叻_周深,湖南,Wed May 28 09:00:55 +0800 2025,0,happiness
好漂亮[哇],广西,Wed May 28 09:00:53 +0800 2025,0,like
芬芳的月季花热烈绽放，总有美好在路上[鲜花][鲜花],上海,Wed May 28 09:00:45 +0800 2025,0,like
??[浮云][摊手]#被北京处处可见的月季花海惊艳了##有一种浪漫叫北京月季花开#[哇]??一朵花读懂一座城~[喵喵]??[可爱](●'?'●)??????,辽宁,Wed May 28 09:00:30 +0800 2025,0,surprise
总有美好在路上[鲜花]人间美好[鲜花]@卡布叻_周深,天津,Wed May 28 09:00:04 +0800 2025,0,happiness
早安[鲜花],天津,Wed May 28 08:59:56 +0800 2025,0,happiness
总有美好来路上[心],广东,Wed May 28 08:59:20 +0800 2025,0,happiness
早,广东,Wed May 28 08:59:20 +0800 2025,0,sadness
总有美好在路上！！@卡布叻_周深 好听！！,河北 ,Wed May 28 08:59:09 +0800 2025,0,happiness
好美好听,其他,Wed May 28 08:56:59 +0800 2025,0,like
夏天来啦[送花花],河北,Wed May 28 08:56:57 +0800 2025,0,happiness
早安,其他,Wed May 28 08:55:39 +0800 2025,0,happiness
#被北京处处可见的月季花海惊艳了# #有一种浪漫叫北京月季花开# 早啊~ 新的一天开始了呀，愿你今天也能发现生活的美好小确幸，让每一天都充满惊喜和阳光哦！?@卡布叻_周深,其他,Wed May 28 08:55:29 +0800 2025,0,happiness
